Part,Value,Device,Package,Description,DIGIKEY_PART_NO,MANUFACTURER,PRICE,PROD_ID,VALUE
C1,1.0uF,1.0UF-0402-16V-10%,402,1uF ceramic capacitors,GRM155R60G105ME01D-ND,Murata,0.0058,CAP-12417,1.0uF
C2,0.1uF,0.1UF-0402-16V-10%,402,0.1uF ceramic capacitors,1276-1004-2-ND,Samsung,0.00243,CAP-12416,0.1uF
C3,0.1uF,0.1UF-0402-16V-10%,402,0.1uF ceramic capacitors,1276-1004-2-ND,Samsung,0.00243,CAP-12416,0.1uF
C4,0.1uF,0.1UF-0402-16V-10%,402,0.1uF ceramic capacitors,1276-1004-2-ND,Samsung,0.00243,CAP-12416,0.1uF
C5,0.1uF,0.1UF-0402-16V-10%,402,0.1uF ceramic capacitors,1276-1004-2-ND,Samsung,0.00243,CAP-12416,0.1uF
C6,1.0uF,1.0UF-0402-16V-10%,402,1uF ceramic capacitors,GRM155R60G105ME01D-ND,Murata,0.0058,CAP-12417,1.0uF
C7,0.1uF,0.1UF-0402-16V-10%,402,0.1uF ceramic capacitors,1276-1004-2-ND,Samsung,0.00243,CAP-12416,0.1uF
C8,0.1uF,0.1UF-0402-16V-10%,402,0.1uF ceramic capacitors,1276-1004-2-ND,Samsung,0.00243,CAP-12416,0.1uF
C9,0.1uF,0.1UF-0402-16V-10%,402,0.1uF ceramic capacitors,1276-1004-2-ND,Samsung,0.00243,CAP-12416,0.1uF
C10,0.1uF,0.1UF-0402-16V-10%,402,0.1uF ceramic capacitors,1276-1004-2-ND,Samsung,0.00243,CAP-12416,0.1uF
C11,0.1uF,0.1UF-0402-16V-10%,402,0.1uF ceramic capacitors,1276-1004-2-ND,Samsung,0.00243,CAP-12416,0.1uF
C12,0.1uF,0.1UF-0402-16V-10%,402,0.1uF ceramic capacitors,1276-1004-2-ND,Samsung,0.00243,CAP-12416,0.1uF
C13,0.1uF,0.1UF-0402-16V-10%,402,0.1uF ceramic capacitors,1276-1004-2-ND,Samsung,0.00243,CAP-12416,0.1uF
C14,0.1uF,0.1UF-0402-16V-10%,402,0.1uF ceramic capacitors,1276-1004-2-ND,Samsung,0.00243,CAP-12416,0.1uF
C15,0.1uF,0.1UF-0402-16V-10%,402,0.1uF ceramic capacitors,1276-1004-2-ND,Samsung,0.00243,CAP-12416,0.1uF
